Unnamed: 0.1,Unnamed: 0,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
821632,821632,0,11194.96,11810.0,23004.96,9601832.65,9590637.69,0
5117740,5117740,0,14762.2,1279552.47,1294314.67,150150.74,135388.54,0
2943096,2943096,0,35209.76,15377940.02,15413149.78,1647447.05,1612237.29,0
2363058,2363058,0,23946.97,10038681.25,10062628.22,369149.15,345202.18,0
1575179,1575179,0,16062.48,5919644.03,5935706.5,1280868.18,1264805.71,0
1821509,1821509,0,11237.17,3288883.25,3300120.42,207075.46,195838.29,0
5353240,5353240,0,26907.95,6195730.02,6222637.98,4364097.94,4337189.98,0
2284072,2284072,0,6853.47,47829.42,54682.89,275993.5,269140.02,0
79273,79273,0,11219.81,5444449.37,5455669.19,153419.94,142200.13,0
4041896,4041896,0,14593.61,2504536.29,2519129.89,200985.5,186391.9,0
4970666,4970666,0,26756.52,8560320.08,8587076.6,159207.91,132451.39,0
4520617,4520617,0,20825.89,5642753.46,5663579.36,66095.92,45270.02,0
2712191,2712191,0,17856.66,1534271.71,1552128.37,9799067.19,9781210.53,0
5145384,5145384,0,13618.45,10928.0,24546.45,1340525.42,1326906.96,0
798771,798771,0,21994.53,10910429.49,10932424.02,197986.74,175992.22,0
2361890,2361890,0,22290.92,9178957.71,9201248.63,155093.01,132802.09,0
5398164,5398164,0,29655.8,32205.0,61860.8,20635764.36,20606108.56,0
5440035,5440035,0,15954.89,1664214.36,1680169.26,20960.26,5005.37,0
1289294,1289294,0,29611.65,14723731.34,14753342.99,415411.64,385799.99,0
6287633,6287633,0,16218.7,53109.0,69327.7,1476100.56,1459881.86,0
3709045,3709045,0,41313.22,18818751.3,18860064.52,79826.52,38513.3,0
5684856,5684856,0,23422.61,5601062.19,5624484.8,344660.06,321237.45,0
2447991,2447991,0,22845.38,9193143.1,9215988.49,556307.84,533462.45,0
1113686,1113686,0,28794.84,14545965.67,14574760.5,198011.0,169216.16,0
3915207,3915207,0,29293.35,6439104.94,6468398.29,10615549.62,10586256.27,0
5896207,5896207,0,21473.99,2899113.89,2920587.88,3094106.6,3072632.62,0
5674512,5674512,0,15090.44,319616.0,334706.44,1149803.96,1134713.51,0
716753,716753,0,10977.45,4595367.34,4606344.78,14073.26,3095.81,0
1971821,1971821,0,9425.12,1926691.8,1936116.92,390968.88,381543.76,0
3882313,3882313,0,12605.12,10.0,12615.12,3440874.23,3428269.12,0
685572,685572,0,30685.82,13827170.55,13857856.37,5221917.35,5191231.53,0
5280839,5280839,0,23354.67,6196477.54,6219832.21,69163.16,45808.49,0
1258007,1258007,0,4814.66,2083.0,6897.66,535070.57,530255.92,0
3662157,3662157,0,11419.04,353541.83,364960.87,1779748.0,1768328.96,0
5294588,5294588,0,14732.44,1080700.78,1095433.22,105141.72,90409.28,0
998175,998175,0,9007.38,2223367.14,2232374.52,1784466.52,1775459.15,0
621746,621746,0,3226.26,122782.0,126008.26,0.0,0.0,0
5522526,5522526,0,15199.16,790953.71,806152.87,658997.06,643797.89,0
825337,825337,0,8600.78,2869150.12,2877750.9,388478.46,379877.68,0
4419917,4419917,0,26590.79,5812863.19,5839453.98,7202487.89,7175897.1,0
3614533,3614533,0,12823.95,2057567.56,2070391.51,29401.89,16577.94,0
2126095,2126095,0,12731.05,3844305.86,3857036.92,57444.15,44713.09,0
1183604,1183604,0,4203.4,10845.0,15048.4,0.0,0.0,0
4103905,4103905,0,28420.88,10378625.04,10407045.93,662861.32,634440.44,0
2276233,2276233,0,7382.69,185969.0,193351.69,726227.67,718844.98,0
1962266,1962266,0,6059.87,101418.0,107477.87,24287.31,18227.45,0
5388739,5388739,0,13617.43,49340.0,62957.43,635274.37,621656.94,0
4310020,4310020,0,11071.12,163450.0,174521.12,0.0,0.0,0
3514317,3514317,0,14295.2,2701445.14,2715740.34,752567.55,738272.34,0
4557264,4557264,0,26235.12,8722285.25,8748520.37,253074.77,226839.65,0
514862,514862,0,6219.67,1666768.67,1672988.35,585302.16,634710.62,0
3639537,3639537,0,9442.86,0.0,9442.86,89555.86,80113.01,0
2658061,2658061,0,7325.56,3178.0,10503.56,0.0,0.0,0
3874620,3874620,0,42533.91,19315431.72,19357965.63,70336.15,27802.23,0
4392428,4392428,0,16420.22,2340086.38,2356506.59,1859193.31,1842773.09,0
5323033,5323033,0,27795.1,8737345.67,8765140.77,168001.94,140206.84,0
78142,78142,0,4954.55,1443100.22,1448054.78,283401.14,480041.69,0
2868642,2868642,0,7765.58,12141.0,19906.58,0.0,0.0,0
3644512,3644512,0,32392.43,8101532.1,8133924.53,11648285.14,11615892.71,0
5002316,5002316,0,16165.62,675687.72,691853.34,2149027.58,2661674.38,0
3833392,3833392,0,9860.88,10783.0,20643.88,49995.78,40134.9,0
1534729,1534729,0,24785.67,11226386.28,11251171.95,1145931.47,1121145.8,0
1929126,1929126,0,22576.75,9360626.66,9383203.41,1215505.61,1192928.87,0
4155048,4155048,0,16764.68,1838769.6,1855534.28,3973300.82,3956536.14,0
4178472,4178472,0,30342.67,7087085.96,7117428.63,9866931.01,9836588.34,0
3544586,3544586,0,33934.48,14455327.71,14489262.19,481189.82,447255.35,0
1357156,1357156,0,5526.45,518651.84,524178.3,72441.0,66914.55,0
3057121,3057121,0,9172.75,529709.83,538882.58,205437.39,196264.63,0
64541,64541,0,6235.35,2545879.17,2552114.52,69713.0,72964.8,0
1466936,1466936,0,11423.12,3907140.61,3918563.74,14409.64,2986.51,0
2708119,2708119,0,7605.54,0.0,7605.54,239675.07,232069.53,0
2245176,2245176,0,6911.99,74981.0,81892.99,744409.25,626125.37,0
972673,972673,0,9093.3,20504.0,29597.3,6599876.86,6590783.56,0
5995400,5995400,0,28476.37,8265561.31,8294037.68,297311.46,268835.09,0
2287089,2287089,0,6549.85,20080.0,26629.85,0.0,0.0,0
1829180,1829180,0,6436.05,20226.0,26662.05,1029345.48,1022909.43,0
2457616,2457616,0,10527.54,445325.97,455853.51,3579877.19,3569349.65,0
3931824,3931824,0,10236.23,120379.0,130615.23,0.0,0.0,0
6013666,6013666,0,14780.81,21407.0,36187.81,524236.3,509455.49,0
3705946,3705946,0,17333.42,4183300.11,4200633.53,986637.59,969304.17,0
3155852,3155852,0,18667.16,5245367.93,5264035.09,1817811.67,1799144.51,0
58599,58599,0,20282.85,10213139.34,10233422.18,581439.67,934645.23,0
2974388,2974388,0,20973.87,7620512.99,7641486.85,141376.99,120403.12,0
1614722,1614722,0,6254.04,468388.31,474642.35,473139.58,466885.54,0
4596245,4596245,0,23249.04,5820318.23,5843567.27,2586179.96,2562930.92,0
16247,16247,0,11939.5,5400293.89,5412233.39,164526.0,623377.01,0
4059452,4059452,0,17551.86,3601612.47,3619164.32,1545595.14,1528043.28,0
