,Unnamed: 0,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
2,2,4,181.0,181.0,0.0,0.0,0.0,1
3,3,1,181.0,181.0,0.0,21182.0,0.0,1
251,251,4,2806.0,2806.0,0.0,0.0,0.0,1
252,252,1,2806.0,2806.0,0.0,26202.0,0.0,1
680,680,4,20128.0,20128.0,0.0,0.0,0.0,1
681,681,1,20128.0,20128.0,0.0,6268.0,12145.85,1
724,724,1,416001.33,0.0,0.0,102.0,9291619.62,1
969,969,4,1277212.77,1277212.77,0.0,0.0,0.0,1
970,970,1,1277212.77,1277212.77,0.0,0.0,2444985.19,1
1115,1115,4,35063.63,35063.63,0.0,0.0,0.0,1
1116,1116,1,35063.63,35063.63,0.0,31140.0,7550.03,1
1869,1869,4,25071.46,25071.46,0.0,0.0,0.0,1
1870,1870,1,25071.46,25071.46,0.0,9083.76,34155.22,1
1911,1911,1,132842.64,4499.08,0.0,0.0,132842.64,1
2301,2301,4,235238.66,235238.66,0.0,0.0,0.0,1
2302,2302,1,235238.66,235238.66,0.0,0.0,235238.66,1
3059,3059,4,1096187.24,1096187.24,0.0,0.0,0.0,1
3060,3060,1,1096187.24,1096187.24,0.0,0.0,1096187.24,1
3162,3162,4,963532.14,963532.14,0.0,0.0,0.0,1
3163,3163,1,963532.14,963532.14,0.0,132382.57,1095914.71,1
3271,3271,4,14949.84,14949.84,0.0,0.0,0.0,1
3272,3272,1,14949.84,14949.84,0.0,18161.79,33111.63,1
3683,3683,4,18627.02,18627.02,0.0,0.0,0.0,1
3684,3684,1,18627.02,18627.02,0.0,147251.58,165878.6,1
4103,4103,4,10539.37,10539.37,0.0,0.0,0.0,1
4104,4104,1,10539.37,10539.37,0.0,0.0,10539.37,1
4260,4260,4,22877.0,22877.0,0.0,0.0,0.0,1
4261,4261,1,22877.0,22877.0,0.0,0.0,22877.0,1
4440,4440,4,10000000.0,12930418.44,2930418.44,0.0,0.0,1
4441,4441,1,10000000.0,10000000.0,0.0,0.0,9941904.21,1
4442,4442,4,2930418.44,2930418.44,0.0,0.0,0.0,1
4443,4443,1,2930418.44,2930418.44,0.0,3616012.1,6963508.84,1
4667,4667,4,169941.73,169941.73,0.0,0.0,0.0,1
4668,4668,1,169941.73,169941.73,0.0,0.0,169941.73,1
4693,4693,4,13707.11,13707.11,0.0,0.0,0.0,1
4694,4694,1,13707.11,13707.11,0.0,0.0,13707.11,1
4775,4775,4,86070.17,86070.17,0.0,0.0,0.0,1
4776,4776,1,86070.17,86070.17,0.0,0.0,86070.17,1
4857,4857,4,120074.73,120074.73,0.0,0.0,0.0,1
4858,4858,1,120074.73,120074.73,0.0,0.0,120074.73,1
5123,5123,4,60726.57,60726.57,0.0,0.0,0.0,1
5124,5124,1,60726.57,60726.57,0.0,13010502.78,13071229.35,1
5466,5466,4,10119.47,10119.47,0.0,0.0,0.0,1
5467,5467,1,10119.47,10119.47,0.0,0.0,10119.47,1
5558,5558,4,33332.86,33332.86,0.0,0.0,0.0,1
5559,5559,1,33332.86,33332.86,0.0,31002.0,0.0,1
5746,5746,4,25975.86,25975.86,0.0,0.0,0.0,1
5747,5747,1,25975.86,25975.86,0.0,98152.0,28041.27,1
5852,5852,4,26768.5,26768.5,0.0,0.0,0.0,1
5853,5853,1,26768.5,26768.5,0.0,101976.0,128744.5,1
5994,5994,4,30521.02,30521.02,0.0,0.0,0.0,1
5995,5995,1,30521.02,30521.02,0.0,0.0,30521.02,1
6583,6583,4,216422.0,216422.0,0.0,0.0,0.0,1
6584,6584,1,216422.0,216422.0,0.0,10097.0,48630.5,1
6702,6702,4,17320.91,17320.91,0.0,0.0,0.0,1
6703,6703,1,17320.91,17320.91,0.0,6244.44,0.0,1
6706,6706,4,17246.0,17246.0,0.0,0.0,101717.84,1
6707,6707,1,17246.0,17246.0,0.0,0.0,17246.0,1
6897,6897,4,10565.0,10565.0,0.0,0.0,0.0,1
6898,6898,1,10565.0,10565.0,0.0,36275.0,24380.72,1
7002,7002,4,10224.0,10224.0,0.0,0.0,0.0,1
7003,7003,1,10224.0,10224.0,0.0,0.0,10224.0,1
7029,7029,4,85354.69,85354.69,0.0,0.0,0.0,1
7030,7030,1,85354.69,85354.69,0.0,11170.0,10612.55,1
7154,7154,4,13704.0,13704.0,0.0,0.0,1658746.09,1
7155,7155,1,13704.0,13704.0,0.0,3382.84,143675.35,1
9284,9284,4,262434.54,262434.54,0.0,0.0,0.0,1
9285,9285,1,262434.54,262434.54,0.0,19525.79,438233.86,1
10218,10218,4,21729.0,21729.0,0.0,0.0,0.0,1
10219,10219,1,21729.0,21729.0,0.0,27335.0,0.0,1
10395,10395,4,5460002.91,5460002.91,0.0,0.0,0.0,1
10396,10396,1,5460002.91,5460002.91,0.0,0.0,9281535.44,1
12179,12179,4,164.0,164.0,0.0,0.0,0.0,1
12180,12180,1,164.0,164.0,0.0,4068.0,0.0,1
12214,12214,4,21571.0,21571.0,0.0,0.0,0.0,1
12215,12215,1,21571.0,21571.0,0.0,30797.41,71140.3,1
12467,12467,4,441445.58,441445.58,0.0,0.0,0.0,1
12468,12468,1,441445.58,441445.58,0.0,98993.5,0.0,1
14861,14861,1,181728.11,0.0,0.0,11397.0,184477.77,1
18771,18771,4,222.0,222.0,0.0,0.0,267095.19,1
18772,18772,1,222.0,222.0,0.0,24708.0,171647.35,1
24966,24966,4,1996.17,1996.17,0.0,0.0,0.0,1
24967,24967,1,1996.17,1996.17,0.0,2559.74,4555.92,1
25875,25875,4,1078013.76,0.0,0.0,0.0,970749.68,1
33472,33472,4,89631.24,89631.24,0.0,0.0,0.0,1
33473,33473,1,89631.24,89631.24,0.0,21175.0,0.0,1
33913,33913,4,29707.86,29707.86,0.0,0.0,0.0,1
